,,,Holiday,2027,Date
,,,Canada Day (C),Thu Jul 1,7/1/2027
,,,Independence Day (US),Sun Jul 4,7/4/2027
,,,Civic Holiday (C),Mon Aug 2,8/2/2027
,,,Labor Day,Mon Sep 6,9/6/2027
,,,National Grandparents Day (US),Sun Sep 12,9/12/2027
,,,Patriot Day (US),Sat Sep 11,9/11/2027
,,,Constitution Day (US),Fri Sep 17,9/17/2027
,,,Fall begins,Thu Sep 23,9/23/2027
,,,Rosh Hashanah begins at sundown,Fri Oct 1,10/1/2027
,,,Rosh Hashanah,Sat Oct 2,10/2/2027
,,,Yom Kippur begins at sundown,Sun Oct 10,10/10/2027
,,,Yom Kippur,Mon Oct 11,10/11/2027
,,,Columbus Day (US),Mon Oct 11,10/11/2027
,,,Thanksgiving Day (C),Mon Oct 11,10/11/2027
,,,National Bosses Day (US),Fri Oct 15,10/15/2027
,,,United Nations Day (US),Sun Oct 24,10/24/2027
,,,Halloween,Sun Oct 31,10/31/2027
,,,Daylight Saving Time ends,Sun Nov 7,11/7/2027
,,,Election Day (US),Tue Nov 2,11/2/2027
,,,Veterans Day (US),Thu Nov 11,11/11/2027
,,,Remembrance Day (C),Thu Nov 11,11/11/2027
,,,Thanksgiving Day (US),Thu Nov 25,11/25/2027
,,,Pearl Harbor Remembrance Day (US),Tue Dec 7,12/7/2027
,,,Winter begins,Wed Dec 22,12/22/2027
,,,Hanukkah begins at sundown,Fri Dec 24,12/24/2027
,,,Hanukkah,Sat Dec 25,12/25/2027
,,,Christmas Day,Sat Dec 25,12/25/2027
,,,Kwanzaa begins,Sun Dec 26,12/26/2027
,,,Boxing Day (C),Sun Dec 26,12/26/2027
,,,New Year’s Day,Sat Jan 1,1/1/2028
,,,"Martin Luther King, Jr. Day (US)",Mon Jan 17,1/17/2028
,,,Valentine’s Day,Mon Feb 14,2/14/2028
,,,Presidents’ Day (US),Mon Feb 21,2/21/2028
,,,Lunar New Year,Wed Jan 26,1/26/2028
,,,First of Ramadan begins at sundown,Thu Jan 27,1/27/2028
,,,Lincoln’s Birthday (US),Sat Feb 12,2/12/2028
,,,First of Ramadan,Fri Jan 28,1/28/2028
,,,Washington’s Birthday (US),Tue Feb 22,2/22/2028
,,,Daylight Saving Time begins,Sun Mar 12,3/12/2028
,,,St. Patrick’s Day,Fri Mar 17,3/17/2028
,,,Groundhog Day,Wed Feb 2,2/2/2028
,,,Eid al Fitr,Sun Feb 27,2/27/2028
,,,Eid al Fitr begins at sundown,Sat Feb 26,2/26/2028
,,,Eastern Orthodox Lent begins,Mon Feb 28,2/28/2028
,,,Ash Wednesday,Wed Mar 1,3/1/2028
,,,Spring begins,Mon Mar 20,3/20/2028
,,,Palm Sunday,Sun Apr 9,4/9/2028
,,,Passover begins at sundown,Mon Apr 10,4/10/2028
,,,Good Friday,Fri Apr 14,4/14/2028
,,,Passover,Tue Apr 11,4/11/2028
,,,Easter,Sun Apr 16,4/16/2028
,,,Eastern Orthodox Easter,Sun Apr 16,4/16/2028
,,,Easter Monday (C),Mon Apr 17,4/17/2028
,,,Earth Day,Sat Apr 22,4/22/2028
,,,Holocaust Remembrance Day,Mon Apr 24,4/24/2028
,,,Administrative Professionals Day,Wed Apr 26,4/26/2028
,,,National Nurses Day,Sat May 6,5/6/2028
,,,National Teacher Day,Tue May 2,5/2/2028
,,,Mother’s Day,Sun May 14,5/14/2028
,,,Armed Forces Day (US),Sat May 20,5/20/2028
,,,Victoria Day (C),Mon May 22,5/22/2028
,,,Memorial Day (US),Mon May 29,5/29/2028
,,,Flag Day (US),Wed Jun 14,6/14/2028
,,,Father’s Day,Sun Jun 18,6/18/2028
,,,Juneteenth,Mon Jun 19,6/19/2028
,,,Summer begins,Tue Jun 20,6/20/2028
